City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
7,13000,2,2,3.0,1,7,2019.0,232,62.33596,0
17,200000,4,4,,2,0,,308,0.0,6
17,95000,4,2,2.0,1,0,2019.0,240,12.0,3
3,600000,0,0,,0,0,,189,0.0,6
7,2000000,0,0,,0,0,,536,20.0,3
3,35000000,3,4,,3,0,2072.0,978,30.0,1
17,250000,17,19,,4,0,,226,0.0,6
20,60000,4,3,,2,0,,342,0.0,6
20,20000000,5,2,4.0,1,0,2076.0,988,15.0,3
20,23500000,6,4,3.0,1,7,2072.0,7500,13.0,3
17,24000000,4,4,2.0,1,4,2010.0,609,18.0,1
27,700000,0,0,,0,7,,783,18.0,5
20,80000,4,3,,1,0,,742,0.0,6
17,16000,2,1,3.0,0,4,2009.0,697,7.0,3
20,40000000,4,4,3.0,2,4,2006.0,1400,492.126,4
20,18000,1,1,,1,6,2002.0,368,20.0,1
17,3000000,0,0,,0,4,,237,21.0,6
20,25000,2,2,,1,0,,653,0.0,6
3,39999999,4,3,3.0,2,4,2071.0,20600,28.0,1
17,2000000,0,0,,0,7,,682,14.0,4
20,60000,2,2,,1,0,,757,0.0,6
17,65000,3,3,,2,0,,211,0.0,6
17,43500000,7,3,3.0,1,7,,1900,13.0,1
20,10000,1,1,,0,0,,362,0.0,6
20,25000,4,2,,1,0,,390,0.0,6
20,20000,1,1,,0,0,,234,0.0,6
20,100000,4,4,,1,0,,185,0.0,6
20,270000,5,4,2.0,12,4,2045.0,886,13.0,1
13,430000,0,0,0.0,0,4,,583,32.0,1
10,2000000,0,0,,0,0,,205,12.0,4
3,1100000,0,0,,0,0,,910,0.0,6
17,3500000,0,0,,0,2,,678,15.0,1
17,20000,2,1,3.0,1,7,2012.0,573,10.0,3
20,2700000,0,0,,0,5,,490,14.0,3
20,150000,4,4,,1,0,,440,0.0,6
17,450,0,0,,0,0,,477,0.0,6
20,60000,2,2,,1,0,,489,0.0,6
17,22500000,4,3,2.0,1,0,2076.0,1100,16.0,1
17,45000000,0,4,3.0,2,0,,589,20.0,1
17,85000000,5,6,3.0,4,0,2069.0,259,20.0,1
17,160000000,6,6,3.0,5,0,2076.0,292,20.0,1
17,7500000,0,0,,0,0,,362,15.0,1
17,61000000,12,8,4.0,4,0,2069.0,199,13.0,1
17,45000000,6,6,3.0,2,0,2075.0,210,15.0,1
17,49500000,5,5,3.0,2,0,2073.0,284,14.0,1
17,24000000,6,6,3.0,1,2,2076.0,153,15.0,1
17,45000000,6,6,3.0,4,6,2072.0,268,20.0,1
17,60000000,7,7,3.0,4,4,2066.0,265,15.0,1
17,22500000,5,5,3.0,1,0,2075.0,237,14.0,4
17,69000000,5,5,3.0,0,4,,97,22.0,1
17,68000000,0,0,,0,0,,214,30.0,1
17,3700000,0,0,,0,0,,126,16.0,1
17,62000000,5,6,3.0,4,6,2075.0,219,14.0,3
17,3700000,0,0,,0,0,,108,15.0,3
17,69000000,7,7,3.0,4,5,,88,20.0,1
17,45000000,6,7,3.0,2,0,2075.0,191,15.0,1
17,65000000,6,5,2.0,0,0,,437,16.0,1
17,42000000,8,7,4.0,4,5,,243,20.0,4
20,13000000,2,1,1.35,1,2,2076.0,2700,10.0,3
20,12700000,2,1,1.5,1,1,2076.0,178,10.0,3
20,11000000,2,1,1.5,1,7,2076.0,1600,16.0,3
7,3050000,0,0,,0,4,,482,164.042,1
